Business Name,Category,Area/Address,City,Phone,Google Rating,Google Reviews,Website,Instagram,Facebook,WhatsApp,Google Maps,Priority,Website Status,Contact Status,Follow-up Date,Notes
Depilex Beauty Salon Bahria Town,Beauty Salon,"Green Valley, Bahria Springs, Phase 7",Rawalpindi,#ERROR!,4.8,883,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Depilex+Beauty+Salon+Bahria+Town+Phase+7,B,New,New,,Established brand
Faiza's Beauty Salon,Beauty Salon,"Plaza 26, Civic Center, Phase 4 Bahria Town",Rawalpindi,#ERROR!,4.5,259,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Faizas+Beauty+Salon+Bahria+Town+Rawalpindi,B,New,New,,
Moshaz Beauty Salon,Beauty Salon,"Civic Center, Bahria Town",Rawalpindi,#ERROR!,4.6,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Moshaz+Beauty+Salon+Bahria+Town+Rawalpindi,A,New,New,,Good website-demo candidate
Headlines Beauty Clinic,Beauty Salon,"14, Mini Commercial Ext, Street 2, Phase 7",Rawalpindi,Not found,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Headlines+Beauty+Clinic+Phase+7+Rawalpindi,A,New,New,,Verify phone
Elixir Beauty Lounge,Beauty Salon,"Plaza 48, Mobeen Arcade, Spring North Commercial, Phase 7",Rawalpindi,Not found,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Elixir+Beauty+Lounge+Phase+7+Rawalpindi,A,New,New,,Verify phone
D's Salons & Makeovers,Beauty Salon,"DHA Bahria Expressway, Business Avenue, Phase 7",Rawalpindi,#ERROR!,Not checked,0,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Ds+Salons+Makeovers+Phase+7+Rawalpindi,A,New,New,,No reviews shown
Jugnu Wasim Salon & Studio,Beauty Salon,"D-948, Satellite Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Jugnu+Wasim+Salon+Studio+Satellite+Town+Rawalpindi,A,New,New,,
Tariq Amin Salon & Academy,Beauty Salon,"31st Mini Commercial, River View, Phase 7 Bahria Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Tariq+Amin+Salon+Academy+Phase+7+Rawalpindi,B,New,New,,
Aslam Hair Dressing Salon,Salon,"Civic Center, Block 10, Phase 4 Bahria Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Aslam+Hair+Dressing+Salon+Bahria+Town,A,New,New,,
Divine Salon & Spa Ladies Only,Beauty Salon,"Street 11, Sector 4, Block B, Airport Housing Society",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Divine+Salon+Spa+Ladies+Only+Rawalpindi,A,New,New,,
Isha's Beauty Salon & Academy,Beauty Salon,"House F-131, Street 7, Scheme III, Chaklala",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Ishas+Beauty+Salon+Academy+Chaklala+Rawalpindi,A,New,New,,
Jeena n Jiya's Beauty Salon,Beauty Salon,"Street 21-A, Chaklala Scheme III",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Jeena+Jiyas+Beauty+Salon+Chaklala+Rawalpindi,A,New,New,,
Ridas Beauty Salon,Beauty Salon,"Shop 7, United Plaza, Commercial Market, Satellite Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Ridas+Beauty+Salon+Satellite+Town+Rawalpindi,A,New,New,,
Royli's Salon Studio & Academy,Beauty Salon,"Plot 27, Main Plaza, Imran Khan Avenue, Chaklala Scheme 3",Rawalpindi,#ERROR!,5,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Roylis+Salon+Studio+Academy+Chaklala+Rawalpindi,B,New,New,,Established salon
Seemi's Salon & Studio,Beauty Salon,"D-721, Satellite Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Seemis+Salon+Studio+Satellite+Town+Rawalpindi,A,New,New,,
Shaz's Beauty Salon,Beauty Salon,"Pearl Continental Hotel, The Mall",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Shazs+Beauty+Salon+Pearl+Continental+Rawalpindi,B,New,New,,
Sobia's Salon & Studio Zarpash,Beauty Salon,"WSSO Building, Jinnah Avenue, Wah Cantt",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Sobias+Salon+Studio+Zarpash+Wah+Cantt,B,New,New,,
Women's Own Beauty Salon & Aerobics Center,Beauty Salon,"230/8 Tulsa Road, Lalazar Colony",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Womens+Own+Beauty+Salon+Lalazar+Rawalpindi,A,New,New,,
Beauty Spot,Beauty Salon,"House 357, Block F, 6th Road, Satellite Town",Rawalpindi,#ERROR!,Not checked,0,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Beauty+Spot+Satellite+Town+Rawalpindi,A,New,New,,
Hoor Beauty Parlour,Beauty Parlour,"Near Dispensary Ground, Sadat Market, Tench Bhatta",Rawalpindi,#ERROR!,Not checked,0,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Hoor+Beauty+Parlour+Tench+Bhatta+Rawalpindi,A,New,New,,
The MakeUp Lounge by Zoniya,Beauty Salon,"House 379, Street 15, Chaklala Scheme III",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=The+Makeup+Lounge+Zoniya+Chaklala+Rawalpindi,A,New,New,,
Zarqas Beauty Parlour,Beauty Parlour,"House 495, Block D, Satellite Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Zarqas+Beauty+Parlour+Satellite+Town+Rawalpindi,A,New,New,,
Noor Beauty Parlour,Beauty Parlour,"Office N-525, Nishtar Road, Babhra Bazar",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Noor+Beauty+Parlour+Babhra+Bazar+Rawalpindi,A,New,New,,
Zaib Beauty Lines,Beauty Salon,"Fatima Manzil, Opp KRL Cricket Stadium, KRL Road",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Zaib+Beauty+Lines+KRL+Road+Rawalpindi,A,New,New,,
Nikhar Beauty Parlour,Beauty Parlour,"D-6/1, Main 6th Road, Satellite Town",Rawalpindi,Not found,3,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Nikhar+Beauty+Parlour+Satellite+Town+Rawalpindi,A,New,New,,Verify phone
The Sparsh Salon,Beauty Salon,"House 249, Street 3, Sector 1, Airport Housing Society",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=The+Sparsh+Salon+Airport+Housing+Society+Rawalpindi,A,New,New,,
Mehak Ladies Beauty Parlour,Beauty Parlour,"113-E, Satellite Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Mehak+Ladies+Beauty+Parlour+Satellite+Town+Rawalpindi,A,New,New,,
Sundrah Bridals,Bridal / Beauty,"B-1350, Main 6th Road, Satellite Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Sundrah+Bridals+Satellite+Town+Rawalpindi,A,New,New,,
Shuaa Beauty Parlour & Spa,Beauty Parlour,"D-843, 5th Road, Commercial Market, Satellite Town",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Shuaa+Beauty+Parlour+Spa+Rawalpindi,A,New,New,,
Vanity Beauty Clinic & Institute,Beauty Clinic,"House 313, Street 14, Chaklala Scheme III",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Vanity+Beauty+Clinic+Institute+Chaklala+Rawalpindi,A,New,New,,
Zaibaish Herbal Salon Studio & Spa,Beauty Salon,"Fatima Manzil, Opp KRL Cricket Stadium, KRL Road",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Zaibaish+Herbal+Salon+Rawalpindi,A,New,New,,
Zarqa's Beauty Parlour,Beauty Parlour,"House 2, Lane 6, Mian Tulsa Road, Lalazar",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Zarqas+Beauty+Parlour+Lalazar+Rawalpindi,A,New,New,,
Rida Beauty Parlour & Fitness Centre,Beauty Parlour,"G-50-B, Panorama Centre, Double Road",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Rida+Beauty+Parlour+Fitness+Centre+Rawalpindi,A,New,New,,
Harry's Signature Saloon,Beauty Salon,"Adiala Road, Khawaja Corporation, New Lalazar",Rawalpindi,#ERROR!,4,48,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Harrys+Signature+Saloon+Rawalpindi,A,New,New,,
Makeup Launch Salon Ladies Salon,Beauty Salon,"House 38A, Harley Street",Rawalpindi,#ERROR!,4.6,45,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Makeup+Launch+Salon+Harley+Street+Rawalpindi,A,New,New,,
New Look Beauty Salon,Beauty Salon,Chamanzar Colony,Rawalpindi,#ERROR!,5,1,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=New+Look+Beauty+Salon+Chamanzar+Rawalpindi,A,New,New,,
Almas Ladies Saloon,Beauty Salon,"Sector 1, Gulshan Abad",Rawalpindi,Not found,4.5,4,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Almas+Ladies+Saloon+Gulshan+Abad+Rawalpindi,A,New,New,,Verify phone
Women Zone,Beauty Salon,Rawalpindi,Rawalpindi,#ERROR!,5,4,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Women+Zone+Beauty+Salon+Rawalpindi,A,New,New,,
Sonia's Beauty Salon & Ladies Gym,Beauty Salon,"B-Block Satellite Town, Sarfaraz Road",Rawalpindi,#ERROR!,4.5,6,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Sonias+Beauty+Salon+Ladies+Gym+Rawalpindi,A,New,New,,
Abheeha Beauty Parlour,Beauty Parlour,Imambara Mohalla,Rawalpindi,Not found,3,1,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Abheeha+Beauty+Parlour+Rawalpindi,A,New,New,,Verify phone
Women Beauty Saloon,Beauty Salon,Rawalpindi,Rawalpindi,Not found,3.5,26,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Women+Beauty+Saloon+Rawalpindi,A,New,New,,Verify phone
Maheen's Beauty Parlour,Beauty Salon,"Block B, Satellite Town Commercial Market, Rehmanabad",Rawalpindi,#ERROR!,Not checked,0,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Maheens+Beauty+Parlour+Rehmanabad+Rawalpindi,A,New,New,,
Beauty Parlour,Beauty Salon,"Shakrial, Lane 3",Rawalpindi,Not found,Not checked,0,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Beauty+Parlour+Shakrial+Rawalpindi,A,New,New,,Generic listing; verify identity
Beauty Parlour,Beauty Salon,"Wazir Town, Railway Scheme Chaklala",Rawalpindi,Not found,Not checked,0,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Beauty+Parlour+Wazir+Town+Chaklala+Rawalpindi,A,New,New,,Generic listing; verify identity
La Belle Salon and Studio,Beauty Salon,"Lala Rukh, Wah Cantt",Rawalpindi,#ERROR!,5,2,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=La+Belle+Salon+Studio+Wah+Cantt,A,New,New,,
House of Salons Bahria Town Ladies,Beauty Salon,Bahria Town,Rawalpindi,#ERROR!,4.7,259,Yes,Yes,Not checked,Yes,https://www.google.com/maps/search/?api=1&query=House+of+Salons+Bahria+Town+Ladies,B,New,New,,Established brand
House of Salons Bahria Town Phase 4 Ladies,Beauty Salon,"Civic Centre, Phase 4 Bahria Town",Rawalpindi,#ERROR!,Not checked,Not checked,Yes,Yes,Not checked,Yes,https://www.google.com/maps/search/?api=1&query=House+of+Salons+Phase+4+Bahria+Town,A,New,New,,
The Spa Ladies Salon,Beauty Salon,"Safari Villas 3, Phase 2 Bahria Town",Rawalpindi,#ERROR!,Not checked,Not checked,Yes,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=The+Spa+Ladies+Salon+Bahria+Town,B,New,New,,
Ummaraz Salon & Academy,Beauty Salon,"Intellectual Village, Bahria Food Street",Rawalpindi,#ERROR!,4.5,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Ummaraz+Salon+Academy+Bahria+Town,A,New,New,,
Magic Mirror Beauty Salon,Beauty Salon,"Civic Center, Bahria Town",Rawalpindi,Not found,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Magic+Mirror+Beauty+Salon+Bahria+Town,A,New,New,,Verify phone
Moshaz Salon,Beauty Salon,"Civic Center, Bahria Town",Rawalpindi,#ERROR!,4.6,Not checked,Yes,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Moshaz+Salon+Bahria+Town,A,New,New,,
Natasha Bridal Studio & Beauty Salon,Bridal / Beauty,Ghouri Town,Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Natasha+Bridal+Studio+Beauty+Salon+Islamabad,A,New,New,,
Nabila Salon,Beauty Salon,"Plot 5, Street 14, Shaheen Market, E-7",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Nabila+Salon+E7+Islamabad,B,New,New,,
Naheed's Beauty Lounge,Beauty Salon,"Shop 9-A, Park View Plaza, G-10 Markaz",Islamabad,Not found,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Naheeds+Beauty+Lounge+G10+Islamabad,A,New,New,,
Alle'nora Annie's Signature Salons & Studio,Beauty Salon,"Union Gold Mall, Jinnah Super, F-7 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Allenora+Annies+Signature+Salon+F7+Islamabad,B,New,New,,
Curves Club Salon,Beauty Salon,"Lower Ground, Salam Heights, E-11/4",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Curves+Club+Salon+E11+Islamabad,A,New,New,,
Deja's Beauty Salon,Beauty Salon,"Office 10, Pervaiz Plaza, I-10 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Dejas+Beauty+Salon+I10+Islamabad,A,New,New,,
Diva Salon & Spa,Beauty Salon,"Basement 1, Allah-Wali Market, Street 43, F-8/1",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Diva+Salon+Spa+F8+Islamabad,A,New,New,,
Divino Ladies Beauty Salon,Beauty Salon,"House 49, Street 5, E-11/4",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Divino+Ladies+Beauty+Salon+E11+Islamabad,A,New,New,,
Faiza's Beauty Salon,Beauty Salon,"AAA Plaza, Bela Road, G-10 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Faizas+Beauty+Salon+G10+Islamabad,A,New,New,,
FEME Makeup Studio & Salon,Beauty Salon,"Abraj Center, Super Market, F-6",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=FEME+Makeup+Studio+Salon+F6+Islamabad,A,New,New,,
Geero's Salon & Spa,Beauty Salon,"PAF Base, E-9",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Geeros+Salon+Spa+E9+Islamabad,B,New,New,,
Infinity Salon,Beauty Salon,"Bizzon Plaza, F-11 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Infinity+Salon+F11+Islamabad,A,New,New,,
Jugnu Wasim Salon & Studio,Beauty Salon,"Bhittai Road, F-7 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Jugnu+Wasim+Salon+Studio+F7+Islamabad,B,New,New,,
Mehdi Hassan Hair Salon,Salon,"Al-Babar Center, F-8 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Mehdi+Hassan+Hair+Salon+F8+Islamabad,B,New,New,,
Naila Beauty Salon,Beauty Salon,"Park Towers, F-10 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Naila+Beauty+Salon+F10+Islamabad,A,New,New,,
Natasha's Beauty Salon & Spa,Beauty Salon,"Near National Defense University, E-9",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,,https://www.google.com/maps/search/?api=1&query=Natashas+Beauty+Salon+Spa+E9+Islamabad,A,New,New,,
New Hollywood Hair Salon,Salon,"Rana Market, F-7/2",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=New+Hollywood+Hair+Salon+F7+Islamabad,B,New,New,,
Royli's Salon Studio & Academy,Beauty Salon,"Plot 3, Street 11-A, Idrees Market, F-10/2",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Yes,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Roylis+Salon+Studio+Academy+F10+Islamabad,B,New,New,,
S & S Beauty Lounge,Beauty Salon,"Abu Bakar Plaza, Main PWD Road",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=S+S+Beauty+Lounge+PWD+Islamabad,A,New,New,,
Sadaf Farhan Bridal Studio & Salon,Bridal / Beauty,"Street 48, Raja Market, F-11/3",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Sadaf+Farhan+Bridal+Studio+Salon+F11+Islamabad,A,New,New,,
Salon Designers,Beauty Salon,"GT Road, near Khayaban-e-Kashmir, G-15/F-15",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Salon+Designers+G15+Islamabad,B,New,New,,
Sara's Beauty Salon,Beauty Salon,"House 5-A, Street 36, F-8/1",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Saras+Beauty+Salon+F8+Islamabad,A,New,New,,
Scissors Ladies Beauty Salon & Aerobics Center,Beauty Salon,"House 249-B, Street 52, F-10/4",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Scissors+Ladies+Beauty+Salon+F10+Islamabad,A,New,New,,
Seemi's Salon & Studio,Beauty Salon,"277, Main Double Road, F-10/4",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Seemis+Salon+Studio+F10+Islamabad,A,New,New,,
Simrans Salon,Beauty Salon,"House 1125, Neelum Road, G-9/4",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Simrans+Salon+G9+Islamabad,A,New,New,,
Sobia Aamir Bridal Lounge & Salon,Bridal / Beauty,"Bangash Plaza, Bhittai Road, F-7 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Sobia+Aamir+Bridal+Lounge+F7+Islamabad,B,New,New,,
Sobia's Salon & Studio Zarpash,Beauty Salon,"House 1, Street 29, Parveen Shakir Road, F-7/1",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Sobias+Salon+Studio+Zarpash+F7+Islamabad,A,New,New,,
Studio T Salon Spa & Institute,Beauty Salon,"Flat 1, Block 3, Najam Market, F-8/4",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Studio+T+Salon+Spa+Institute+F8+Islamabad,A,New,New,,
Tariq Amin Salon & Academy,Beauty Salon,"Beverly Center, Jinnah Avenue, Blue Area",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Tariq+Amin+Salon+Academy+Blue+Area+Islamabad,B,New,New,,
The Grooming Lounge,Salon,"House 4, Street 84, G-6/4",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=The+Grooming+Lounge+G6+Islamabad,B,New,New,,
TJ's Salon,Salon,"Sitara Plaza, Diplomatic Enclave, G-5 Markaz",Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=TJs+Salon+G5+Islamabad,B,New,New,,
House of Salons F-7 Female,Beauty Salon,F-7 Markaz,Islamabad,#ERROR!,Not checked,Not checked,Yes,Yes,Not checked,Yes,https://www.google.com/maps/search/?api=1&query=House+of+Salons+F7+Female+Islamabad,A,New,New,,
House of Salons F-10,Beauty Salon,F-10 Markaz,Islamabad,#ERROR!,Not checked,Not checked,Yes,Yes,Not checked,Yes,https://www.google.com/maps/search/?api=1&query=House+of+Salons+F10+Islamabad,B,New,New,,
House of Salons F-11,Beauty Salon,F-11 Markaz,Islamabad,#ERROR!,Not checked,Not checked,Yes,Yes,Not checked,Yes,https://www.google.com/maps/search/?api=1&query=House+of+Salons+F11+Islamabad,B,New,New,,
House of Salons G-11,Beauty Salon,G-11 Markaz,Islamabad,#ERROR!,Not checked,Not checked,Yes,Yes,Not checked,Yes,https://www.google.com/maps/search/?api=1&query=House+of+Salons+G11+Islamabad,B,New,New,,
